Date,City,Product,Units_Sold,Unit_Price,Customer_Rating,Revenue
2025-07-01,Cape Town,Smoothie,199,3.6,3.4,716.4
2025-07-02,Cape Town,Tea,32,4.86,3.1,155.52
2025-07-03,Cape Town,Sandwich,69,4.52,3.1,311.88
2025-07-04,Durban,Tea,117,3.38,4.2,395.46
2025-07-05,Cape Town,Sandwich,188,4.19,3.6,787.72
2025-07-06,Durban,Cake,36,2.87,3.2,103.32
2025-07-07,Port Elizabeth,Tea,77,5.73,4.5,441.21
2025-07-08,Pretoria,Smoothie,106,2.82,3.6,298.92
2025-07-09,Pretoria,Cake,157,3.27,3.1,513.39
2025-07-10,Durban,Cake,30,5.92,4.7,177.6
2025-07-11,Johannesburg,Cake,126,5.04,3.7,635.04
2025-07-12,Port Elizabeth,Cake,63,5.18,4.4,326.34
2025-07-13,Cape Town,Tea,172,3.18,4.5,546.96
2025-07-14,Durban,Coffee,107,3.58,4.9,383.06
2025-07-15,Pretoria,Sandwich,185,3.8,4.5,703.0
2025-07-16,Cape Town,Sandwich,18,5.72,3.8,102.96
2025-07-17,Cape Town,Sandwich,155,6.01,3.6,931.55
2025-07-18,Johannesburg,Coffee,174,4.34,3.5,755.16
2025-07-19,Durban,Tea,147,3.55,4.2,521.85
2025-07-20,Pretoria,Coffee,102,3.38,5.0,344.76
2025-07-21,Pretoria,Coffee,33,5.52,4.7,182.16
2025-07-22,Durban,Sandwich,184,4.19,3.1,770.96
2025-07-23,Johannesburg,Tea,129,4.62,4.9,595.98
2025-07-24,Cape Town,Smoothie,184,6.04,4.5,1111.36
2025-07-25,Port Elizabeth,Smoothie,85,4.24,3.9,360.4
2025-07-26,Port Elizabeth,Tea,55,4.53,3.2,249.15
2025-07-27,Port Elizabeth,Tea,165,3.3,3.7,544.5
2025-07-28,Durban,Tea,145,6.17,4.2,894.65
2025-07-29,Johannesburg,Smoothie,38,6.22,4.8,236.36
2025-07-30,Port Elizabeth,Sandwich,24,3.46,4.1,83.04
2025-07-31,Cape Town,Smoothie,197,4.44,3.1,874.68
2025-08-01,Pretoria,Sandwich,42,5.14,4.9,215.88
2025-08-02,Durban,Cake,145,5.99,3.8,868.55
2025-08-03,Durban,Tea,196,5.26,4.4,1030.96
2025-08-04,Johannesburg,Cake,122,6.1,3.9,744.2
2025-08-05,Durban,Sandwich,26,3.85,4.2,100.1
2025-08-06,Durban,Tea,66,2.53,4.4,166.98
2025-08-07,Cape Town,Sandwich,27,6.12,4.7,165.24
2025-08-08,Cape Town,Tea,70,3.61,4.0,252.7
2025-08-09,Pretoria,Sandwich,195,6.24,4.1,1216.8
2025-08-10,Johannesburg,Sandwich,131,5.73,3.4,750.63
2025-08-11,Cape Town,Coffee,100,4.19,3.9,419.0
2025-08-12,Cape Town,Smoothie,25,4.11,3.7,102.75
2025-08-13,Cape Town,Sandwich,59,3.26,3.9,192.34
2025-08-14,Johannesburg,Sandwich,81,4.35,4.7,352.35
2025-08-15,Cape Town,Coffee,150,2.89,4.3,433.5
2025-08-16,Pretoria,Smoothie,33,6.21,4.7,204.93
2025-08-17,Durban,Coffee,134,4.43,4.7,593.62
2025-08-18,Cape Town,Sandwich,107,2.51,3.8,268.57
2025-08-19,Johannesburg,Cake,118,5.29,4.5,624.22
2025-08-20,Pretoria,Coffee,49,3.26,3.4,159.74
2025-08-21,Cape Town,Tea,198,4.67,4.5,924.66
2025-08-22,Cape Town,Smoothie,159,4.41,4.8,701.19
2025-08-23,Pretoria,Sandwich,24,6.34,3.2,152.16
2025-08-24,Durban,Smoothie,162,2.77,4.7,448.74
2025-08-25,Johannesburg,Smoothie,155,3.48,4.2,539.4
2025-08-26,Pretoria,Smoothie,117,5.13,4.1,600.21
2025-08-27,Port Elizabeth,Cake,62,5.18,3.6,321.16
2025-08-28,Port Elizabeth,Coffee,43,5.19,3.6,223.17
2025-08-29,Port Elizabeth,Smoothie,12,4.33,5.0,51.96
