Order_ID,Date,Country,Currency,Revenue,Quantity,Category
EMEA-2001,2026-02-01,FR,EUR,12400.0,24,SaaS Enterprise
EMEA-2002,2026-02-03,GB,GBP,9800.0,16,DevOps Pipeline
EMEA-2003,2026-02-05,CH,CHF,14500.0,10,SaaS Enterprise
EMEA-2004,2026-02-07,SE,SEK,85000.0,30,Security Gateway
EMEA-2005,2026-02-10,DE,EUR,-1200.0,2,DevOps Pipeline
EMEA-2006,2026-02-12,NL,EUR,7600.0,12,SaaS Enterprise
EMEA-2007,2026-02-14,GB,GBP,34000.0,50,Analytics Suite
EMEA-2008,2026-02-18,FR,EUR,6200.0,8,Security Gateway
EMEA-2009,2026-02-22,CH,CHF,11200.0,15,DevOps Pipeline
EMEA-2010,2026-02-25,DE,EUR,18900.0,28,SaaS Enterprise
